Date,Open,High,Low,Close,Volume
6/11/2024 16:00:00,849.24,850.94,840.26,849.31,1690514
6/12/2024 16:00:00,852.31,855.74,843.61,847.81,1838255
6/13/2024 16:00:00,847.81,847.81,837.55,845.96,1322381
6/14/2024 16:00:00,843.42,856.18,841.91,855.67,1395485
6/17/2024 16:00:00,854.49,870.56,853.37,867.91,1904926
6/18/2024 16:00:00,868,873.96,867.7,870.75,1763802
6/20/2024 16:00:00,871.31,873.85,860.56,862.44,1944601
6/21/2024 16:00:00,866.64,866.97,847.65,848.31,3852859
6/24/2024 16:00:00,850,850.63,841.51,848.16,1722886
6/25/2024 16:00:00,849.32,855.69,845,855.51,1675700
6/26/2024 16:00:00,852.72,859.74,850.06,856.84,1505286
6/27/2024 16:00:00,857.71,858.33,848.64,850.62,1254904
6/28/2024 16:00:00,851.25,857.24,846.81,849.99,2131691
7/1/2024 16:00:00,853.5,856,840.5,845.67,1989003
7/2/2024 16:00:00,845.69,860.36,843.08,859.36,1377857
7/3/2024 13:05:00,855,863.52,855,862.66,814423
7/5/2024 16:00:00,864.56,886.94,858.72,885.67,2620714
7/8/2024 16:00:00,886.79,887.95,877.66,880.84,1611317
7/9/2024 16:00:00,883.85,896.67,882.97,886.85,1358498
7/10/2024 16:00:00,887.4,890.27,880.7,884.31,1755823
7/11/2024 16:00:00,890.76,890.76,846.52,846.59,6021054
7/12/2024 16:00:00,849.89,850,838.38,842.9,3288384
7/15/2024 16:00:00,846.86,857.9,844.67,848.73,2064036
7/16/2024 16:00:00,847.8,851.24,841.34,850.77,1687592
7/17/2024 16:00:00,848.01,849.95,842.65,846.28,1783079
7/18/2024 16:00:00,849.43,855.3,825.11,839.37,2338477
7/19/2024 16:00:00,836.51,848.88,835.56,838.13,1984385
7/22/2024 16:00:00,845.75,849.59,838.6,847.42,1920228
7/23/2024 16:00:00,848.9,854.58,845.58,852.11,1744123
7/24/2024 16:00:00,844.6,846,829.5,830.82,2511321
7/25/2024 16:00:00,835.79,836.65,814.28,815.95,2183740
7/26/2024 16:00:00,818,822.28,809.01,817.6,1441455
7/29/2024 16:00:00,822.56,823.74,814.09,815.56,1320420
7/30/2024 16:00:00,818,822,803.28,810.03,2017248
7/31/2024 16:00:00,820.42,825.48,811.27,822,2135049
8/1/2024 16:00:00,818.55,824.17,809.68,816.89,1861405
8/2/2024 16:00:00,816.2,830.29,805.01,822.08,2598467
8/5/2024 16:00:00,798,810.82,793,801.83,2820885
8/6/2024 16:00:00,805.06,833.09,805.06,816.88,2476255
8/7/2024 16:00:00,824.11,833.83,809.26,810.3,1702040
8/8/2024 16:00:00,821.5,842.76,820.45,839.43,2345030
8/9/2024 16:00:00,838.5,857.77,837.63,854.93,1710588
8/12/2024 16:00:00,857.25,870.25,852.4,863.57,1748173
8/13/2024 16:00:00,864.92,868.05,856.16,864.82,1484055
8/14/2024 16:00:00,864.87,866.73,858.5,862.71,1341493
8/15/2024 16:00:00,872.87,880.33,869,877.35,1923809
8/16/2024 16:00:00,877.35,877.35,868.62,870.59,1516332
8/19/2024 16:00:00,870.59,873.63,868.7,872.35,1318382
8/20/2024 16:00:00,872,876.76,871.17,876.2,1104595
8/21/2024 16:00:00,880.74,891.12,877.22,881.42,1465505
8/22/2024 16:00:00,882.3,884,873.18,877.56,1440919
8/23/2024 16:00:00,882.49,884.56,871.67,879.21,1305753
8/26/2024 16:00:00,883.17,893.25,881.44,892.51,1737024
8/27/2024 16:00:00,892.69,918.93,887.07,908.9,2098899
8/28/2024 16:00:00,910.96,912.22,881.66,888.05,1668378
8/29/2024 16:00:00,891,900.46,885.17,886.63,1709893
8/30/2024 16:00:00,890.5,896.33,883.1,892.38,1933485
9/3/2024 16:00:00,896.68,896.89,874.44,878.57,1784179
9/4/2024 16:00:00,877.45,891.76,876.59,890.02,1425160
9/5/2024 16:00:00,888.63,888.63,868.7,885.98,1998837
9/6/2024 16:00:00,891.26,893.2,871,876.68,2074604
9/9/2024 16:00:00,884.74,898.83,881.7,896.49,1953977
9/10/2024 16:00:00,892.6,900.69,887.52,894.29,1360818
9/11/2024 16:00:00,895,902,877.87,900.4,1796084
9/12/2024 16:00:00,900.42,915.7,896.51,915.03,1868674
9/13/2024 16:00:00,913.63,923.83,909.36,916,1327509
9/16/2024 16:00:00,922,922.63,905.35,907.87,1661046
9/17/2024 16:00:00,908.43,908.6,895.45,897.27,1386963
9/18/2024 16:00:00,899.94,904.98,890.95,892.52,1338163
9/19/2024 16:00:00,904.26,905.13,895.5,900.74,1747482
9/20/2024 16:00:00,901.57,907.81,895.7,906.98,4658159
9/23/2024 16:00:00,906.98,919.5,900.78,917.08,1697643
9/24/2024 16:00:00,912.01,912.77,897.53,901.54,2432552
9/25/2024 16:00:00,903,910.36,901.13,908.42,1728137
9/26/2024 16:00:00,905.3,909.24,898.13,901.44,2738553
9/27/2024 16:00:00,893.26,893.49,874,885.62,3459054
9/30/2024 16:00:00,891.37,910,881.41,886.52,2146353
10/1/2024 16:00:00,885.25,886.99,872.75,877.38,1836683
10/2/2024 16:00:00,874.65,881.23,867.16,878.53,1317146
10/3/2024 16:00:00,874.44,881.18,872.67,875.67,1451942
10/4/2024 16:00:00,877.99,884.29,875.67,883.11,1517311
10/7/2024 16:00:00,881.6,887.71,872.33,873.59,1963158
10/8/2024 16:00:00,876.7,891.31,876.7,890.42,1697910
10/9/2024 16:00:00,892.24,910,887.87,909.1,1956453
10/10/2024 16:00:00,910,910,891.84,893.63,1765785
10/11/2024 16:00:00,894.5,894.5,885.5,889.03,1527294
10/14/2024 16:00:00,892.45,895.17,886.26,889.76,1431497
10/15/2024 16:00:00,892.09,900.65,889.55,894.61,1613905
10/16/2024 16:00:00,889.92,891.33,879.5,887.38,1475495
10/17/2024 16:00:00,891.56,895.33,882.8,885.29,1321463
10/18/2024 16:00:00,885.76,890.61,883.75,889.56,1654015
10/21/2024 16:00:00,889,891.4,883.7,886.77,1184880
10/22/2024 16:00:00,890.98,894.89,884.31,893.49,1189653
10/23/2024 16:00:00,896.02,905.68,894.99,899.17,2193473
10/24/2024 16:00:00,901.5,903.5,888.26,893.42,1649565
10/25/2024 16:00:00,895.65,901.62,890,891.22,1425842
10/28/2024 16:00:00,895.99,895.99,890,890.96,912507
10/29/2024 16:00:00,890,891.17,874.09,886.99,1361681
10/30/2024 16:00:00,886.38,886.57,877.37,879.09,1412209
10/31/2024 16:00:00,877.2,877.65,868.65,874.18,1771876
